"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10297","Test databao build with DuckDB","tests.domains","Thu Mar 19 09:39:28 UTC 2026","passed","Thu Mar 19 09:39:38 UTC 2026","","test_duckdb","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11026","Test databao build with MySQL","tests.domains","Thu Mar 19 09:39:59 UTC 2026","passed","Thu Mar 19 09:40:10 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29661","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 19 09:38:58 UTC 2026","passed","Thu Mar 19 09:39:28 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8820","Test databao build with SQLite","tests.domains","Thu Mar 19 09:41:07 UTC 2026","passed","Thu Mar 19 09:41:16 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10804","Test databao build with Postgres","tests.domains","Thu Mar 19 09:40:17 UTC 2026","passed","Thu Mar 19 09:40:28 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26013","Test databao build with Snowflake from init config","tests.domains","Thu Mar 19 09:40:41 UTC 2026","passed","Thu Mar 19 09:41:07 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres with a partitioned table and build it.","11424","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 19 09:40:30 UTC 2026","passed","Thu Mar 19 09:40:41 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","64820","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 19 09:37:53 UTC 2026","passed","Thu Mar 19 09:38:58 UTC 2026","","test_bigquery","",""
