"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10371","Test databao build with DuckDB","tests.domains","Wed Apr 01 12:35:37 UTC 2026","passed","Wed Apr 01 12:35:48 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10774","Test databao build with Postgres","tests.domains","Wed Apr 01 12:36:30 UTC 2026","passed","Wed Apr 01 12:36:40 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10968","Test databao build with MySQL","tests.domains","Wed Apr 01 12:36:11 UTC 2026","passed","Wed Apr 01 12:36:22 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","76674","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Apr 01 12:33:46 UTC 2026","passed","Wed Apr 01 12:35:03 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11421","Test databao build with Postgres with partitioned table","tests.domains","Wed Apr 01 12:36:42 UTC 2026","passed","Wed Apr 01 12:36:53 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","24402","Test databao build with Snowflake from init config","tests.domains","Wed Apr 01 12:36:53 UTC 2026","passed","Wed Apr 01 12:37:18 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","34220","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Apr 01 12:35:03 UTC 2026","passed","Wed Apr 01 12:35:37 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8589","Test databao build with SQLite","tests.domains","Wed Apr 01 12:37:18 UTC 2026","passed","Wed Apr 01 12:37:26 UTC 2026","","test_sqlite","",""
