"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","704029","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Tue Mar 17 14:25:22 UTC 2026","passed","Tue Mar 17 14:37:06 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11263","Test databao build with Postgres with partitioned table","tests.domains","Tue Mar 17 14:38:11 UTC 2026","passed","Tue Mar 17 14:38:22 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10682","Test databao build with Postgres","tests.domains","Tue Mar 17 14:37:59 UTC 2026","passed","Tue Mar 17 14:38:10 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10275","Test databao build with DuckDB","tests.domains","Tue Mar 17 14:37:06 UTC 2026","passed","Tue Mar 17 14:37:16 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","27769","Test databao build with Snowflake from init config","tests.domains","Tue Mar 17 14:38:22 UTC 2026","passed","Tue Mar 17 14:38:50 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10970","Test databao build with MySQL","tests.domains","Tue Mar 17 14:37:40 UTC 2026","passed","Tue Mar 17 14:37:51 UTC 2026","","test_mysql","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8707","Test databao build with SQLite","tests.domains","Tue Mar 17 14:38:50 UTC 2026","passed","Tue Mar 17 14:38:59 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","910677","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Tue Mar 17 14:10:11 UTC 2026","broken","Tue Mar 17 14:25:22 UTC 2026","","test_bigquery","",""
