"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8846","Test databao build with SQLite","tests.domains","Thu Mar 19 09:44:29 UTC 2026","passed","Thu Mar 19 09:44:37 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26606","Test databao build with Snowflake from init config","tests.domains","Thu Mar 19 09:44:02 UTC 2026","passed","Thu Mar 19 09:44:29 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres with a partitioned table and build it.","11712","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 19 09:43:50 UTC 2026","passed","Thu Mar 19 09:44:02 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11328","Test databao build with MySQL","tests.domains","Thu Mar 19 09:43:18 UTC 2026","passed","Thu Mar 19 09:43:29 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","33585","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 19 09:42:10 UTC 2026","passed","Thu Mar 19 09:42:43 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10501","Test databao build with DuckDB","tests.domains","Thu Mar 19 09:42:43 UTC 2026","passed","Thu Mar 19 09:42:54 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11107","Test databao build with Postgres","tests.domains","Thu Mar 19 09:43:38 UTC 2026","passed","Thu Mar 19 09:43:49 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","79846","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 19 09:40:50 UTC 2026","passed","Thu Mar 19 09:42:10 UTC 2026","","test_bigquery","",""
