"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","8277","Test databao build with DuckDB","tests.domains","Fri Mar 13 17:47:57 UTC 2026","broken","Fri Mar 13 17:48:06 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","12459","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 13 17:47:35 UTC 2026","broken","Fri Mar 13 17:47:48 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11698","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 13 17:55:30 UTC 2026","passed","Fri Mar 13 17:55:41 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11040","Test databao build with Postgres","tests.domains","Fri Mar 13 17:55:17 UTC 2026","passed","Fri Mar 13 17:55:28 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","9311","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 13 17:47:48 UTC 2026","broken","Fri Mar 13 17:47:57 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8931","Test databao build with SQLite","tests.domains","Fri Mar 13 17:56:09 UTC 2026","passed","Fri Mar 13 17:56:18 UTC 2026","","test_sqlite","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","379295","Test databao build with MySQL","tests.domains","Fri Mar 13 17:48:50 UTC 2026","passed","Fri Mar 13 17:55:09 UTC 2026","","test_mysql","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","27664","Test databao build with Snowflake from init config","tests.domains","Fri Mar 13 17:55:41 UTC 2026","passed","Fri Mar 13 17:56:09 UTC 2026","","test_snowflake","",""
