"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8809","Test databao build with SQLite","tests.domains","Mon Mar 23 21:46:16 UTC 2026","passed","Mon Mar 23 21:46:25 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","28862","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Mon Mar 23 21:44:07 UTC 2026","passed","Mon Mar 23 21:44:36 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11404","Test databao build with Postgres with partitioned table","tests.domains","Mon Mar 23 21:45:39 UTC 2026","passed","Mon Mar 23 21:45:51 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11036","Test databao build with MySQL","tests.domains","Mon Mar 23 21:45:08 UTC 2026","passed","Mon Mar 23 21:45:19 UTC 2026","","test_mysql","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10406","Test databao build with DuckDB","tests.domains","Mon Mar 23 21:44:36 UTC 2026","passed","Mon Mar 23 21:44:46 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","25441","Test databao build with Snowflake from init config","tests.domains","Mon Mar 23 21:45:51 UTC 2026","passed","Mon Mar 23 21:46:16 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","69250","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Mon Mar 23 21:42:58 UTC 2026","passed","Mon Mar 23 21:44:07 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10844","Test databao build with Postgres","tests.domains","Mon Mar 23 21:45:27 UTC 2026","passed","Mon Mar 23 21:45:38 UTC 2026","","test_postgres","",""
