"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11841","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 26 09:47:36 UTC 2026","passed","Thu Mar 26 09:47:48 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","33532","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 26 09:45:54 UTC 2026","passed","Thu Mar 26 09:46:28 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","30102","Test databao build with Snowflake from init config","tests.domains","Thu Mar 26 09:47:48 UTC 2026","passed","Thu Mar 26 09:48:18 UTC 2026","","test_snowflake","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","9121","Test databao build with SQLite","tests.domains","Thu Mar 26 09:48:18 UTC 2026","passed","Thu Mar 26 09:48:27 UTC 2026","","test_sqlite","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11537","Test databao build with MySQL","tests.domains","Thu Mar 26 09:47:03 UTC 2026","passed","Thu Mar 26 09:47:15 UTC 2026","","test_mysql","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10832","Test databao build with DuckDB","tests.domains","Thu Mar 26 09:46:28 UTC 2026","passed","Thu Mar 26 09:46:38 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11246","Test databao build with Postgres","tests.domains","Thu Mar 26 09:47:23 UTC 2026","passed","Thu Mar 26 09:47:34 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","83633","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 26 09:44:30 UTC 2026","passed","Thu Mar 26 09:45:54 UTC 2026","","test_bigquery","",""
