"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32491","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Mar 18 16:12:42 UTC 2026","passed","Wed Mar 18 16:13:15 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26685","Test databao build with Snowflake from init config","tests.domains","Wed Mar 18 16:14:33 UTC 2026","passed","Wed Mar 18 16:14:59 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres with a partitioned table and build it.","11277","Test databao build with Postgres with partitioned table","tests.domains","Wed Mar 18 16:14:21 UTC 2026","passed","Wed Mar 18 16:14:32 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11147","Test databao build with MySQL","tests.domains","Wed Mar 18 16:13:50 UTC 2026","passed","Wed Mar 18 16:14:01 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10610","Test databao build with Postgres","tests.domains","Wed Mar 18 16:14:09 UTC 2026","passed","Wed Mar 18 16:14:20 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10395","Test databao build with DuckDB","tests.domains","Wed Mar 18 16:13:15 UTC 2026","passed","Wed Mar 18 16:13:25 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","112441","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Mar 18 16:10:50 UTC 2026","passed","Wed Mar 18 16:12:42 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8647","Test databao build with SQLite","tests.domains","Wed Mar 18 16:14:59 UTC 2026","passed","Wed Mar 18 16:15:08 UTC 2026","","test_sqlite","",""
