"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","25522","Test databao build with Snowflake from init config","tests.domains","Thu Mar 19 09:49:12 UTC 2026","passed","Thu Mar 19 09:49:38 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11211","Test databao build with MySQL","tests.domains","Thu Mar 19 09:48:30 UTC 2026","passed","Thu Mar 19 09:48:41 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10975","Test databao build with Postgres","tests.domains","Thu Mar 19 09:48:48 UTC 2026","passed","Thu Mar 19 09:48:59 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres with a partitioned table and build it.","11641","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 19 09:49:01 UTC 2026","passed","Thu Mar 19 09:49:12 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30373","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 19 09:47:26 UTC 2026","passed","Thu Mar 19 09:47:56 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","63187","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 19 09:46:23 UTC 2026","passed","Thu Mar 19 09:47:26 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10520","Test databao build with DuckDB","tests.domains","Thu Mar 19 09:47:56 UTC 2026","passed","Thu Mar 19 09:48:07 UTC 2026","","test_duckdb","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8837","Test databao build with SQLite","tests.domains","Thu Mar 19 09:49:38 UTC 2026","passed","Thu Mar 19 09:49:47 UTC 2026","","test_sqlite","",""
