"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","67075","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Apr 03 20:10:20 UTC 2026","passed","Fri Apr 03 20:11:27 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10356","Test databao build with DuckDB","tests.domains","Fri Apr 03 20:11:57 UTC 2026","passed","Fri Apr 03 20:12:07 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","22594","Test databao build with Snowflake from init config","tests.domains","Fri Apr 03 20:13:10 UTC 2026","passed","Fri Apr 03 20:13:33 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11059","Test databao build with MySQL","tests.domains","Fri Apr 03 20:12:28 UTC 2026","passed","Fri Apr 03 20:12:39 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres with a partitioned table and build it.","11552","Test databao build with Postgres with partitioned table","tests.domains","Fri Apr 03 20:12:58 UTC 2026","passed","Fri Apr 03 20:13:10 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10942","Test databao build with Postgres","tests.domains","Fri Apr 03 20:12:46 UTC 2026","passed","Fri Apr 03 20:12:57 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29705","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Apr 03 20:11:27 UTC 2026","passed","Fri Apr 03 20:11:57 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8782","Test databao build with SQLite","tests.domains","Fri Apr 03 20:13:33 UTC 2026","passed","Fri Apr 03 20:13:41 UTC 2026","","test_sqlite","",""
