"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8629","Test databao build with SQLite","tests.domains","Fri Mar 20 13:14:51 UTC 2026","passed","Fri Mar 20 13:15:00 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26574","Test databao build with Snowflake from init config","tests.domains","Fri Mar 20 13:14:25 UTC 2026","passed","Fri Mar 20 13:14:51 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11478","Test databao build with MySQL","tests.domains","Fri Mar 20 13:13:42 UTC 2026","passed","Fri Mar 20 13:13:53 UTC 2026","","test_mysql","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10286","Test databao build with DuckDB","tests.domains","Fri Mar 20 13:13:09 UTC 2026","passed","Fri Mar 20 13:13:19 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","69817","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 20 13:11:28 UTC 2026","passed","Fri Mar 20 13:12:38 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30931","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 20 13:12:38 UTC 2026","passed","Fri Mar 20 13:13:09 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11393","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 20 13:14:13 UTC 2026","passed","Fri Mar 20 13:14:24 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10788","Test databao build with Postgres","tests.domains","Fri Mar 20 13:14:01 UTC 2026","passed","Fri Mar 20 13:14:12 UTC 2026","","test_postgres","",""
