"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11051","Test databao build with MySQL","tests.domains","Tue Mar 31 15:02:50 UTC 2026","passed","Tue Mar 31 15:03:01 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","37120","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Tue Mar 31 15:01:41 UTC 2026","passed","Tue Mar 31 15:02:18 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11234","Test databao build with Postgres with partitioned table","tests.domains","Tue Mar 31 15:03:21 UTC 2026","passed","Tue Mar 31 15:03:33 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10083","Test databao build with DuckDB","tests.domains","Tue Mar 31 15:02:18 UTC 2026","passed","Tue Mar 31 15:02:28 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","29251","Test databao build with Snowflake from init config","tests.domains","Tue Mar 31 15:03:33 UTC 2026","passed","Tue Mar 31 15:04:02 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","70845","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Tue Mar 31 15:00:30 UTC 2026","broken","Tue Mar 31 15:01:40 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10648","Test databao build with Postgres","tests.domains","Tue Mar 31 15:03:09 UTC 2026","passed","Tue Mar 31 15:03:20 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8662","Test databao build with SQLite","tests.domains","Tue Mar 31 15:04:02 UTC 2026","passed","Tue Mar 31 15:04:11 UTC 2026","","test_sqlite","",""
