"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11329","Test databao build with Postgres with partitioned table","tests.domains","Tue Mar 17 16:49:07 UTC 2026","passed","Tue Mar 17 16:49:18 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10880","Test databao build with MySQL","tests.domains","Tue Mar 17 16:48:37 UTC 2026","passed","Tue Mar 17 16:48:48 UTC 2026","","test_mysql","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8587","Test databao build with SQLite","tests.domains","Tue Mar 17 16:49:43 UTC 2026","passed","Tue Mar 17 16:49:52 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29759","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Tue Mar 17 16:47:35 UTC 2026","passed","Tue Mar 17 16:48:05 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10150","Test databao build with DuckDB","tests.domains","Tue Mar 17 16:48:05 UTC 2026","passed","Tue Mar 17 16:48:15 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","68257","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Tue Mar 17 16:46:27 UTC 2026","passed","Tue Mar 17 16:47:35 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10687","Test databao build with Postgres","tests.domains","Tue Mar 17 16:48:55 UTC 2026","passed","Tue Mar 17 16:49:06 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","24480","Test databao build with Snowflake from init config","tests.domains","Tue Mar 17 16:49:19 UTC 2026","passed","Tue Mar 17 16:49:43 UTC 2026","","test_snowflake","",""
