"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11707","Test databao build with Postgres with partitioned table","tests.domains","Sun Mar 29 10:03:21 UTC 2026","passed","Sun Mar 29 10:03:33 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11369","Test databao build with MySQL","tests.domains","Sun Mar 29 10:02:49 UTC 2026","passed","Sun Mar 29 10:03:01 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11111","Test databao build with Postgres","tests.domains","Sun Mar 29 10:03:09 UTC 2026","passed","Sun Mar 29 10:03:20 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32498","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Sun Mar 29 10:00:49 UTC 2026","broken","Sun Mar 29 10:01:21 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","35150","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Sun Mar 29 10:00:13 UTC 2026","broken","Sun Mar 29 10:00:49 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","61108","Test databao build with DuckDB","tests.domains","Sun Mar 29 10:01:21 UTC 2026","passed","Sun Mar 29 10:02:22 UTC 2026","","test_duckdb","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","9068","Test databao build with SQLite","tests.domains","Sun Mar 29 10:04:06 UTC 2026","passed","Sun Mar 29 10:04:15 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","32646","Test databao build with Snowflake from init config","tests.domains","Sun Mar 29 10:03:33 UTC 2026","broken","Sun Mar 29 10:04:06 UTC 2026","","test_snowflake","",""
