"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11116","Test databao build with Postgres with partitioned table","tests.domains","Sun Mar 29 10:34:59 UTC 2026","passed","Sun Mar 29 10:35:10 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Sun Mar 29 10:35:10 UTC 2026","skipped","Sun Mar 29 10:35:10 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","0","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Sun Mar 29 10:33:22 UTC 2026","skipped","Sun Mar 29 10:33:22 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10809","Test databao build with MySQL","tests.domains","Sun Mar 29 10:34:28 UTC 2026","passed","Sun Mar 29 10:34:39 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10566","Test databao build with Postgres","tests.domains","Sun Mar 29 10:34:47 UTC 2026","passed","Sun Mar 29 10:34:57 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","0","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Sun Mar 29 10:33:22 UTC 2026","skipped","Sun Mar 29 10:33:22 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8455","Test databao build with SQLite","tests.domains","Sun Mar 29 10:35:10 UTC 2026","passed","Sun Mar 29 10:35:18 UTC 2026","","test_sqlite","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","41522","Test databao build with DuckDB","tests.domains","Sun Mar 29 10:33:22 UTC 2026","passed","Sun Mar 29 10:34:04 UTC 2026","","test_duckdb","",""
