"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26705","Test databao build with Snowflake from init config","tests.domains","Fri Mar 27 13:15:29 UTC 2026","passed","Fri Mar 27 13:15:56 UTC 2026","","test_snowflake","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10235","Test databao build with DuckDB","tests.domains","Fri Mar 27 13:14:13 UTC 2026","passed","Fri Mar 27 13:14:23 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32018","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 27 13:13:41 UTC 2026","passed","Fri Mar 27 13:14:13 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8582","Test databao build with SQLite","tests.domains","Fri Mar 27 13:15:56 UTC 2026","passed","Fri Mar 27 13:16:04 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10619","Test databao build with Postgres","tests.domains","Fri Mar 27 13:15:06 UTC 2026","passed","Fri Mar 27 13:15:16 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","66645","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 27 13:12:34 UTC 2026","passed","Fri Mar 27 13:13:41 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10985","Test databao build with MySQL","tests.domains","Fri Mar 27 13:14:46 UTC 2026","passed","Fri Mar 27 13:14:57 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres with a partitioned table and build it.","11270","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 27 13:15:18 UTC 2026","passed","Fri Mar 27 13:15:29 UTC 2026","","test_postgres","",""
