"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with MySQL and build it, then compare results with expected introspection.","2565","Test databao build with MySQL","tests.domains","Mon Mar 23 13:05:39 UTC 2026","broken","Mon Mar 23 13:05:42 UTC 2026","","test_mysql","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","2593","Test databao build with DuckDB","tests.domains","Mon Mar 23 13:05:11 UTC 2026","broken","Mon Mar 23 13:05:14 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","2492","Test databao build with Snowflake from init config","tests.domains","Mon Mar 23 13:05:56 UTC 2026","broken","Mon Mar 23 13:05:59 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","2560","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Mon Mar 23 13:05:08 UTC 2026","broken","Mon Mar 23 13:05:11 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","2517","Test databao build with Postgres with partitioned table","tests.domains","Mon Mar 23 13:05:54 UTC 2026","broken","Mon Mar 23 13:05:56 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","2547","Test databao build with SQLite","tests.domains","Mon Mar 23 13:05:59 UTC 2026","broken","Mon Mar 23 13:06:01 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","5680","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Mon Mar 23 13:05:03 UTC 2026","broken","Mon Mar 23 13:05:08 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","2584","Test databao build with Postgres","tests.domains","Mon Mar 23 13:05:49 UTC 2026","broken","Mon Mar 23 13:05:52 UTC 2026","","test_postgres","",""
