"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","66610","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 27 14:20:14 UTC 2026","passed","Fri Mar 27 14:21:21 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30253","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 27 14:21:21 UTC 2026","passed","Fri Mar 27 14:21:51 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8554","Test databao build with SQLite","tests.domains","Fri Mar 27 14:23:29 UTC 2026","passed","Fri Mar 27 14:23:38 UTC 2026","","test_sqlite","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10734","Test databao build with MySQL","tests.domains","Fri Mar 27 14:22:23 UTC 2026","passed","Fri Mar 27 14:22:33 UTC 2026","","test_mysql","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","25333","Test databao build with Snowflake from init config","tests.domains","Fri Mar 27 14:23:04 UTC 2026","passed","Fri Mar 27 14:23:29 UTC 2026","","test_snowflake","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10016","Test databao build with DuckDB","tests.domains","Fri Mar 27 14:21:51 UTC 2026","passed","Fri Mar 27 14:22:01 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10488","Test databao build with Postgres","tests.domains","Fri Mar 27 14:22:41 UTC 2026","passed","Fri Mar 27 14:22:51 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres with a partitioned table and build it.","11140","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 27 14:22:53 UTC 2026","passed","Fri Mar 27 14:23:04 UTC 2026","","test_postgres","",""
