"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","0","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Sun Mar 29 12:07:47 UTC 2026","skipped","Sun Mar 29 12:07:47 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","8772","Test databao build with Postgres","tests.domains","Sun Mar 29 12:09:02 UTC 2026","passed","Sun Mar 29 12:09:11 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","0","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Sun Mar 29 12:07:47 UTC 2026","skipped","Sun Mar 29 12:07:47 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","7417","Test databao build with SQLite","tests.domains","Sun Mar 29 12:09:22 UTC 2026","passed","Sun Mar 29 12:09:29 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Sun Mar 29 12:09:22 UTC 2026","skipped","Sun Mar 29 12:09:22 UTC 2026","","test_snowflake","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","37862","Test databao build with DuckDB","tests.domains","Sun Mar 29 12:07:47 UTC 2026","passed","Sun Mar 29 12:08:25 UTC 2026","","test_duckdb","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","9000","Test databao build with MySQL","tests.domains","Sun Mar 29 12:08:46 UTC 2026","passed","Sun Mar 29 12:08:55 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres with a partitioned table and build it.","9176","Test databao build with Postgres with partitioned table","tests.domains","Sun Mar 29 12:09:12 UTC 2026","passed","Sun Mar 29 12:09:21 UTC 2026","","test_postgres","",""
