"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10949","Test databao build with MySQL","tests.domains","Tue Mar 17 13:02:20 UTC 2026","passed","Tue Mar 17 13:02:31 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","118394","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Tue Mar 17 12:59:14 UTC 2026","passed","Tue Mar 17 13:01:13 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8547","Test databao build with SQLite","tests.domains","Tue Mar 17 13:03:28 UTC 2026","passed","Tue Mar 17 13:03:37 UTC 2026","","test_sqlite","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10145","Test databao build with DuckDB","tests.domains","Tue Mar 17 13:01:46 UTC 2026","passed","Tue Mar 17 13:01:57 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres with a partitioned table and build it.","11423","Test databao build with Postgres with partitioned table","tests.domains","Tue Mar 17 13:02:51 UTC 2026","passed","Tue Mar 17 13:03:02 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26011","Test databao build with Snowflake from init config","tests.domains","Tue Mar 17 13:03:02 UTC 2026","passed","Tue Mar 17 13:03:28 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10672","Test databao build with Postgres","tests.domains","Tue Mar 17 13:02:39 UTC 2026","passed","Tue Mar 17 13:02:49 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","33637","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Tue Mar 17 13:01:13 UTC 2026","passed","Tue Mar 17 13:01:46 UTC 2026","","test_bigquery","",""
