"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","66997","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 12 13:52:08 UTC 2026","passed","Thu Mar 12 13:53:15 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10608","Test databao build with Postgres","tests.domains","Thu Mar 12 13:54:39 UTC 2026","passed","Thu Mar 12 13:54:49 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30522","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 12 13:53:15 UTC 2026","passed","Thu Mar 12 13:53:45 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10994","Test databao build with MySQL","tests.domains","Thu Mar 12 13:54:20 UTC 2026","passed","Thu Mar 12 13:54:31 UTC 2026","","test_mysql","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Thu Mar 12 13:54:49 UTC 2026","skipped","Thu Mar 12 13:54:49 UTC 2026","","test_snowflake","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8546","Test databao build with SQLite","tests.domains","Thu Mar 12 13:54:49 UTC 2026","passed","Thu Mar 12 13:54:58 UTC 2026","","test_sqlite","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10116","Test databao build with DuckDB","tests.domains","Thu Mar 12 13:53:45 UTC 2026","passed","Thu Mar 12 13:53:56 UTC 2026","","test_duckdb","",""
