"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres and build it, then compare results with expected introspection.","23722","Test databao build with Postgres","tests.domains","Fri Mar 06 18:25:58 UTC 2026","passed","Fri Mar 06 18:26:22 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","34569","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 06 18:24:03 UTC 2026","passed","Fri Mar 06 18:24:37 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","23221","Test databao build with DuckDB","tests.domains","Fri Mar 06 18:24:37 UTC 2026","passed","Fri Mar 06 18:25:01 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","47698","Test databao build with Snowflake from init config","tests.domains","Fri Mar 06 18:26:23 UTC 2026","passed","Fri Mar 06 18:27:11 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","24830","Test databao build with MySQL","tests.domains","Fri Mar 06 18:25:24 UTC 2026","passed","Fri Mar 06 18:25:48 UTC 2026","","test_mysql","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","25257","Test databao build with SQLite","tests.domains","Fri Mar 06 18:27:11 UTC 2026","passed","Fri Mar 06 18:27:36 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","113168","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 06 18:22:10 UTC 2026","passed","Fri Mar 06 18:24:03 UTC 2026","","test_bigquery","",""
