"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11611","Test databao build with Postgres with partitioned table","tests.domains","Tue Mar 17 13:24:19 UTC 2026","passed","Tue Mar 17 13:24:30 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","29573","Test databao build with Snowflake from init config","tests.domains","Tue Mar 17 13:24:31 UTC 2026","passed","Tue Mar 17 13:25:00 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10876","Test databao build with Postgres","tests.domains","Tue Mar 17 13:24:06 UTC 2026","passed","Tue Mar 17 13:24:17 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","36657","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Tue Mar 17 13:22:35 UTC 2026","broken","Tue Mar 17 13:23:12 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11146","Test databao build with MySQL","tests.domains","Tue Mar 17 13:23:47 UTC 2026","passed","Tue Mar 17 13:23:58 UTC 2026","","test_mysql","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8731","Test databao build with SQLite","tests.domains","Tue Mar 17 13:25:00 UTC 2026","passed","Tue Mar 17 13:25:09 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","74210","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Tue Mar 17 13:21:21 UTC 2026","passed","Tue Mar 17 13:22:35 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10541","Test databao build with DuckDB","tests.domains","Tue Mar 17 13:23:12 UTC 2026","passed","Tue Mar 17 13:23:22 UTC 2026","","test_duckdb","",""
