"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26032","Test databao build with Snowflake from init config","tests.domains","Thu Mar 19 19:26:37 UTC 2026","passed","Thu Mar 19 19:27:04 UTC 2026","","test_snowflake","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8536","Test databao build with SQLite","tests.domains","Thu Mar 19 19:27:04 UTC 2026","passed","Thu Mar 19 19:27:12 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30145","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 19 19:24:53 UTC 2026","passed","Thu Mar 19 19:25:23 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10996","Test databao build with MySQL","tests.domains","Thu Mar 19 19:25:55 UTC 2026","passed","Thu Mar 19 19:26:06 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","65108","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 19 19:23:48 UTC 2026","passed","Thu Mar 19 19:24:53 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10080","Test databao build with DuckDB","tests.domains","Thu Mar 19 19:25:23 UTC 2026","passed","Thu Mar 19 19:25:33 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10734","Test databao build with Postgres","tests.domains","Thu Mar 19 19:26:14 UTC 2026","passed","Thu Mar 19 19:26:24 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres with a partitioned table and build it.","11412","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 19 19:26:26 UTC 2026","passed","Thu Mar 19 19:26:37 UTC 2026","","test_postgres","",""
