"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10200","Test databao build with DuckDB","tests.domains","Thu Mar 19 17:56:37 UTC 2026","passed","Thu Mar 19 17:56:47 UTC 2026","","test_duckdb","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8607","Test databao build with SQLite","tests.domains","Thu Mar 19 17:58:20 UTC 2026","passed","Thu Mar 19 17:58:28 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10715","Test databao build with Postgres","tests.domains","Thu Mar 19 17:57:29 UTC 2026","passed","Thu Mar 19 17:57:40 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","33085","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 19 17:56:04 UTC 2026","passed","Thu Mar 19 17:56:37 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11398","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 19 17:57:41 UTC 2026","passed","Thu Mar 19 17:57:53 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26492","Test databao build with Snowflake from init config","tests.domains","Thu Mar 19 17:57:53 UTC 2026","passed","Thu Mar 19 17:58:20 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","87938","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 19 17:54:36 UTC 2026","passed","Thu Mar 19 17:56:04 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10939","Test databao build with MySQL","tests.domains","Thu Mar 19 17:57:10 UTC 2026","passed","Thu Mar 19 17:57:21 UTC 2026","","test_mysql","",""
