"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8922","Test databao build with SQLite","tests.domains","Wed Mar 11 23:04:34 UTC 2026","passed","Wed Mar 11 23:04:43 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10991","Test databao build with Postgres","tests.domains","Wed Mar 11 23:04:23 UTC 2026","passed","Wed Mar 11 23:04:34 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","35095","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Mar 11 23:01:44 UTC 2026","broken","Wed Mar 11 23:02:19 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Wed Mar 11 23:04:34 UTC 2026","skipped","Wed Mar 11 23:04:34 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32464","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Mar 11 23:02:20 UTC 2026","broken","Wed Mar 11 23:02:52 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","48819","Test databao build with DuckDB","tests.domains","Wed Mar 11 23:02:52 UTC 2026","passed","Wed Mar 11 23:03:41 UTC 2026","","test_duckdb","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11362","Test databao build with MySQL","tests.domains","Wed Mar 11 23:04:04 UTC 2026","passed","Wed Mar 11 23:04:16 UTC 2026","","test_mysql","",""
