"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","7984","Test databao build with SQLite","tests.domains","Wed Mar 11 17:55:35 UTC 2026","passed","Wed Mar 11 17:55:43 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","28688","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Mar 11 17:54:07 UTC 2026","passed","Wed Mar 11 17:54:35 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","9509","Test databao build with DuckDB","tests.domains","Wed Mar 11 17:54:35 UTC 2026","passed","Wed Mar 11 17:54:45 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Wed Mar 11 17:55:35 UTC 2026","skipped","Wed Mar 11 17:55:35 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10160","Test databao build with MySQL","tests.domains","Wed Mar 11 17:55:07 UTC 2026","passed","Wed Mar 11 17:55:17 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10009","Test databao build with Postgres","tests.domains","Wed Mar 11 17:55:24 UTC 2026","passed","Wed Mar 11 17:55:34 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","65998","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Mar 11 17:53:01 UTC 2026","passed","Wed Mar 11 17:54:07 UTC 2026","","test_bigquery","",""
