"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11824","Test databao build with Postgres with partitioned table","tests.domains","Mon Mar 30 12:17:29 UTC 2026","passed","Mon Mar 30 12:17:41 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11337","Test databao build with MySQL","tests.domains","Mon Mar 30 12:16:58 UTC 2026","passed","Mon Mar 30 12:17:09 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","66031","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Mon Mar 30 12:14:48 UTC 2026","passed","Mon Mar 30 12:15:54 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10664","Test databao build with DuckDB","tests.domains","Mon Mar 30 12:16:26 UTC 2026","passed","Mon Mar 30 12:16:37 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11098","Test databao build with Postgres","tests.domains","Mon Mar 30 12:17:17 UTC 2026","passed","Mon Mar 30 12:17:28 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8887","Test databao build with SQLite","tests.domains","Mon Mar 30 12:18:09 UTC 2026","passed","Mon Mar 30 12:18:18 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","27484","Test databao build with Snowflake from init config","tests.domains","Mon Mar 30 12:17:41 UTC 2026","passed","Mon Mar 30 12:18:09 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32057","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Mon Mar 30 12:15:54 UTC 2026","passed","Mon Mar 30 12:16:26 UTC 2026","","test_bigquery","",""
