"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32160","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Apr 08 13:04:59 UTC 2026","broken","Wed Apr 08 13:05:31 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","32119","Test databao build with Snowflake from init config","tests.domains","Wed Apr 08 13:08:13 UTC 2026","broken","Wed Apr 08 13:08:45 UTC 2026","","test_snowflake","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","32158","Test databao build with DuckDB","tests.domains","Wed Apr 08 13:05:31 UTC 2026","broken","Wed Apr 08 13:06:03 UTC 2026","","test_duckdb","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","32157","Test databao build with SQLite","tests.domains","Wed Apr 08 13:08:45 UTC 2026","broken","Wed Apr 08 13:09:17 UTC 2026","","test_sqlite","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","32235","Test databao build with MySQL","tests.domains","Wed Apr 08 13:06:26 UTC 2026","broken","Wed Apr 08 13:06:59 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","32163","Test databao build with Postgres","tests.domains","Wed Apr 08 13:07:07 UTC 2026","broken","Wed Apr 08 13:07:39 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres with a partitioned table and build it.","32151","Test databao build with Postgres with partitioned table","tests.domains","Wed Apr 08 13:07:41 UTC 2026","broken","Wed Apr 08 13:08:13 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","34860","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Apr 08 13:04:24 UTC 2026","broken","Wed Apr 08 13:04:59 UTC 2026","","test_bigquery","",""
