"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8737","Test databao build with SQLite","tests.domains","Fri Mar 20 15:46:05 UTC 2026","passed","Fri Mar 20 15:46:14 UTC 2026","","test_sqlite","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11101","Test databao build with MySQL","tests.domains","Fri Mar 20 15:44:54 UTC 2026","passed","Fri Mar 20 15:45:05 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32481","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 20 15:43:48 UTC 2026","passed","Fri Mar 20 15:44:21 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","27415","Test databao build with Snowflake from init config","tests.domains","Fri Mar 20 15:45:37 UTC 2026","passed","Fri Mar 20 15:46:05 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres with a partitioned table and build it.","11356","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 20 15:45:26 UTC 2026","passed","Fri Mar 20 15:45:37 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","70013","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 20 15:42:38 UTC 2026","passed","Fri Mar 20 15:43:48 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10320","Test databao build with DuckDB","tests.domains","Fri Mar 20 15:44:21 UTC 2026","passed","Fri Mar 20 15:44:31 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10811","Test databao build with Postgres","tests.domains","Fri Mar 20 15:45:14 UTC 2026","passed","Fri Mar 20 15:45:24 UTC 2026","","test_postgres","",""
