"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Wed Mar 11 15:24:41 UTC 2026","skipped","Wed Mar 11 15:24:41 UTC 2026","","test_snowflake","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11054","Test databao build with Postgres","tests.domains","Wed Mar 11 15:24:30 UTC 2026","passed","Wed Mar 11 15:24:41 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8874","Test databao build with SQLite","tests.domains","Wed Mar 11 15:24:41 UTC 2026","passed","Wed Mar 11 15:24:50 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","28994","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Mar 11 15:23:07 UTC 2026","passed","Wed Mar 11 15:23:36 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10713","Test databao build with DuckDB","tests.domains","Wed Mar 11 15:23:36 UTC 2026","passed","Wed Mar 11 15:23:47 UTC 2026","","test_duckdb","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11244","Test databao build with MySQL","tests.domains","Wed Mar 11 15:24:11 UTC 2026","passed","Wed Mar 11 15:24:22 UTC 2026","","test_mysql","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","66899","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Mar 11 15:22:00 UTC 2026","passed","Wed Mar 11 15:23:07 UTC 2026","","test_bigquery","",""
