"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with MySQL and build it, then compare results with expected introspection.","23644","Test databao build with MySQL","tests.domains","Fri Mar 06 21:08:32 UTC 2026","passed","Fri Mar 06 21:08:56 UTC 2026","","test_mysql","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","21832","Test databao build with SQLite","tests.domains","Fri Mar 06 21:10:16 UTC 2026","passed","Fri Mar 06 21:10:38 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","36603","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 06 21:07:10 UTC 2026","passed","Fri Mar 06 21:07:47 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","45736","Test databao build with Snowflake from init config","tests.domains","Fri Mar 06 21:09:31 UTC 2026","passed","Fri Mar 06 21:10:16 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","124584","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 06 21:05:05 UTC 2026","passed","Fri Mar 06 21:07:10 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","24697","Test databao build with Postgres","tests.domains","Fri Mar 06 21:09:05 UTC 2026","passed","Fri Mar 06 21:09:30 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","22281","Test databao build with DuckDB","tests.domains","Fri Mar 06 21:07:47 UTC 2026","passed","Fri Mar 06 21:08:09 UTC 2026","","test_duckdb","",""
