"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","79922","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Sat Apr 04 23:57:35 UTC 2026","passed","Sat Apr 04 23:58:55 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29777","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Sat Apr 04 23:58:55 UTC 2026","passed","Sat Apr 04 23:59:24 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11402","Test databao build with Postgres with partitioned table","tests.domains","Sun Apr 05 00:00:40 UTC 2026","passed","Sun Apr 05 00:00:52 UTC 2026","","test_postgres","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","33251","Test databao build with Snowflake from init config","tests.domains","Sun Apr 05 00:00:52 UTC 2026","passed","Sun Apr 05 00:01:25 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11014","Test databao build with MySQL","tests.domains","Sat Apr 04 23:59:58 UTC 2026","passed","Sun Apr 05 00:00:09 UTC 2026","","test_mysql","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10194","Test databao build with DuckDB","tests.domains","Sat Apr 04 23:59:24 UTC 2026","passed","Sat Apr 04 23:59:35 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10844","Test databao build with Postgres","tests.domains","Sun Apr 05 00:00:28 UTC 2026","passed","Sun Apr 05 00:00:39 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8739","Test databao build with SQLite","tests.domains","Sun Apr 05 00:01:25 UTC 2026","passed","Sun Apr 05 00:01:34 UTC 2026","","test_sqlite","",""
