"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with MySQL and build it, then compare results with expected introspection.","30043","Test databao build with MySQL","tests.domains","Mon Mar 16 12:26:04 UTC 2026","broken","Mon Mar 16 12:26:34 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","30052","Test databao build with Postgres","tests.domains","Mon Mar 16 12:26:41 UTC 2026","broken","Mon Mar 16 12:27:11 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","30061","Test databao build with DuckDB","tests.domains","Mon Mar 16 12:25:14 UTC 2026","broken","Mon Mar 16 12:25:44 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30036","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Mon Mar 16 12:24:43 UTC 2026","broken","Mon Mar 16 12:25:14 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","30037","Test databao build with Snowflake from init config","tests.domains","Mon Mar 16 12:27:43 UTC 2026","broken","Mon Mar 16 12:28:13 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","30026","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Mon Mar 16 12:24:13 UTC 2026","broken","Mon Mar 16 12:24:43 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","30064","Test databao build with Postgres with partitioned table","tests.domains","Mon Mar 16 12:27:12 UTC 2026","broken","Mon Mar 16 12:27:42 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","30026","Test databao build with SQLite","tests.domains","Mon Mar 16 12:28:13 UTC 2026","broken","Mon Mar 16 12:28:43 UTC 2026","","test_sqlite","",""
