"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","32199","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Wed Apr 08 18:16:07 UTC 2026","broken","Wed Apr 08 18:16:40 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","32224","Test databao build with Postgres with partitioned table","tests.domains","Wed Apr 08 18:18:47 UTC 2026","broken","Wed Apr 08 18:19:20 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","35023","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Wed Apr 08 18:15:32 UTC 2026","broken","Wed Apr 08 18:16:07 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","32218","Test databao build with Postgres","tests.domains","Wed Apr 08 18:18:14 UTC 2026","broken","Wed Apr 08 18:18:46 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","32261","Test databao build with DuckDB","tests.domains","Wed Apr 08 18:16:40 UTC 2026","broken","Wed Apr 08 18:17:12 UTC 2026","","test_duckdb","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","32211","Test databao build with SQLite","tests.domains","Wed Apr 08 18:19:52 UTC 2026","broken","Wed Apr 08 18:20:24 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","32181","Test databao build with Snowflake from init config","tests.domains","Wed Apr 08 18:19:20 UTC 2026","broken","Wed Apr 08 18:19:52 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","32236","Test databao build with MySQL","tests.domains","Wed Apr 08 18:17:34 UTC 2026","broken","Wed Apr 08 18:18:06 UTC 2026","","test_mysql","",""
