"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","663","Test databao build with DuckDB","tests.domains","Fri Mar 27 17:21:05 UTC 2026","broken","Fri Mar 27 17:21:06 UTC 2026","","test_duckdb","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","956","Test databao build with MySQL","tests.domains","Fri Mar 27 17:21:28 UTC 2026","broken","Fri Mar 27 17:21:29 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","647","Test databao build with Postgres","tests.domains","Fri Mar 27 17:21:37 UTC 2026","broken","Fri Mar 27 17:21:37 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","622","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 27 17:21:04 UTC 2026","broken","Fri Mar 27 17:21:05 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","615","Test databao build with Snowflake from init config","tests.domains","Fri Mar 27 17:21:40 UTC 2026","broken","Fri Mar 27 17:21:40 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","800","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 27 17:21:03 UTC 2026","broken","Fri Mar 27 17:21:04 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","623","Test databao build with SQLite","tests.domains","Fri Mar 27 17:21:40 UTC 2026","broken","Fri Mar 27 17:21:41 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres with a partitioned table and build it.","642","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 27 17:21:39 UTC 2026","broken","Fri Mar 27 17:21:39 UTC 2026","","test_postgres","",""
