"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10963","Test databao build with MySQL","tests.domains","Thu Mar 12 18:32:00 UTC 2026","passed","Thu Mar 12 18:32:11 UTC 2026","","test_mysql","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Thu Mar 12 18:32:30 UTC 2026","skipped","Thu Mar 12 18:32:30 UTC 2026","","test_snowflake","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10242","Test databao build with DuckDB","tests.domains","Thu Mar 12 18:31:26 UTC 2026","passed","Thu Mar 12 18:31:36 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","68973","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 12 18:29:48 UTC 2026","passed","Thu Mar 12 18:30:57 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29317","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 12 18:30:57 UTC 2026","passed","Thu Mar 12 18:31:26 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8536","Test databao build with SQLite","tests.domains","Thu Mar 12 18:32:30 UTC 2026","passed","Thu Mar 12 18:32:38 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10674","Test databao build with Postgres","tests.domains","Thu Mar 12 18:32:19 UTC 2026","passed","Thu Mar 12 18:32:30 UTC 2026","","test_postgres","",""
