"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10308","Test databao build with DuckDB","tests.domains","Fri Mar 13 13:35:23 UTC 2026","passed","Fri Mar 13 13:35:33 UTC 2026","","test_duckdb","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10974","Test databao build with Postgres","tests.domains","Fri Mar 13 13:36:15 UTC 2026","passed","Fri Mar 13 13:36:26 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres with a partitioned table and build it.","11507","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 13 13:36:28 UTC 2026","passed","Fri Mar 13 13:36:39 UTC 2026","","test_postgres","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11127","Test databao build with MySQL","tests.domains","Fri Mar 13 13:35:56 UTC 2026","passed","Fri Mar 13 13:36:07 UTC 2026","","test_mysql","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Fri Mar 13 13:36:40 UTC 2026","skipped","Fri Mar 13 13:36:40 UTC 2026","","test_snowflake","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8716","Test databao build with SQLite","tests.domains","Fri Mar 13 13:36:40 UTC 2026","passed","Fri Mar 13 13:36:48 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","207617","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 13 13:31:16 UTC 2026","passed","Fri Mar 13 13:34:43 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","39463","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 13 13:34:43 UTC 2026","passed","Fri Mar 13 13:35:23 UTC 2026","","test_bigquery","",""
