"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres and build it, then compare results with expected introspection.","21657","Test databao build with Postgres","tests.domains","Mon Mar 09 13:28:48 UTC 2026","passed","Mon Mar 09 13:29:09 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","35306","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Mon Mar 09 13:26:57 UTC 2026","passed","Mon Mar 09 13:27:32 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","22825","Test databao build with SQLite","tests.domains","Mon Mar 09 13:29:54 UTC 2026","passed","Mon Mar 09 13:30:16 UTC 2026","","test_sqlite","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","109545","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Mon Mar 09 13:25:07 UTC 2026","passed","Mon Mar 09 13:26:57 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","21243","Test databao build with DuckDB","tests.domains","Mon Mar 09 13:27:32 UTC 2026","passed","Mon Mar 09 13:27:54 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","43073","Test databao build with Snowflake from init config","tests.domains","Mon Mar 09 13:29:10 UTC 2026","passed","Mon Mar 09 13:29:54 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","22747","Test databao build with MySQL","tests.domains","Mon Mar 09 13:28:16 UTC 2026","passed","Mon Mar 09 13:28:39 UTC 2026","","test_mysql","",""
