"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8483","Test databao build with SQLite","tests.domains","Thu Mar 26 19:46:27 UTC 2026","passed","Thu Mar 26 19:46:35 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres with a partitioned table and build it.","11231","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 26 19:45:49 UTC 2026","passed","Thu Mar 26 19:46:00 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10621","Test databao build with Postgres","tests.domains","Thu Mar 26 19:45:36 UTC 2026","passed","Thu Mar 26 19:45:47 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10303","Test databao build with DuckDB","tests.domains","Thu Mar 26 19:44:42 UTC 2026","passed","Thu Mar 26 19:44:53 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","33628","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 26 19:44:09 UTC 2026","passed","Thu Mar 26 19:44:42 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26862","Test databao build with Snowflake from init config","tests.domains","Thu Mar 26 19:46:00 UTC 2026","passed","Thu Mar 26 19:46:27 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","80658","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 26 19:42:48 UTC 2026","passed","Thu Mar 26 19:44:09 UTC 2026","","test_bigquery","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10899","Test databao build with MySQL","tests.domains","Thu Mar 26 19:45:17 UTC 2026","passed","Thu Mar 26 19:45:28 UTC 2026","","test_mysql","",""
