"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","65737","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Thu Mar 19 19:26:41 UTC 2026","passed","Thu Mar 19 19:27:47 UTC 2026","","test_bigquery","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29913","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Thu Mar 19 19:27:47 UTC 2026","passed","Thu Mar 19 19:28:17 UTC 2026","","test_bigquery","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","9013","Test databao build with SQLite","tests.domains","Thu Mar 19 19:30:03 UTC 2026","passed","Thu Mar 19 19:30:12 UTC 2026","","test_sqlite","",""
"Initialize a project with Postgres with a partitioned table and build it.","11752","Test databao build with Postgres with partitioned table","tests.domains","Thu Mar 19 19:29:24 UTC 2026","passed","Thu Mar 19 19:29:36 UTC 2026","","test_postgres","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10624","Test databao build with DuckDB","tests.domains","Thu Mar 19 19:28:17 UTC 2026","passed","Thu Mar 19 19:28:28 UTC 2026","","test_duckdb","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","26440","Test databao build with Snowflake from init config","tests.domains","Thu Mar 19 19:29:36 UTC 2026","passed","Thu Mar 19 19:30:03 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11590","Test databao build with MySQL","tests.domains","Thu Mar 19 19:28:52 UTC 2026","passed","Thu Mar 19 19:29:04 UTC 2026","","test_mysql","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11035","Test databao build with Postgres","tests.domains","Thu Mar 19 19:29:12 UTC 2026","passed","Thu Mar 19 19:29:23 UTC 2026","","test_postgres","",""
