"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10819","Test databao build with DuckDB","tests.domains","Tue Mar 17 13:46:47 UTC 2026","passed","Tue Mar 17 13:46:58 UTC 2026","","test_duckdb","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","169197","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Tue Mar 17 13:43:21 UTC 2026","passed","Tue Mar 17 13:46:11 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","11655","Test databao build with Postgres","tests.domains","Tue Mar 17 13:47:43 UTC 2026","passed","Tue Mar 17 13:47:54 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","36669","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Tue Mar 17 13:46:11 UTC 2026","passed","Tue Mar 17 13:46:47 UTC 2026","","test_bigquery","",""
"Initialize a project with Postgres with a partitioned table and build it.","11970","Test databao build with Postgres with partitioned table","tests.domains","Tue Mar 17 13:47:56 UTC 2026","passed","Tue Mar 17 13:48:08 UTC 2026","","test_postgres","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","9357","Test databao build with SQLite","tests.domains","Tue Mar 17 13:48:37 UTC 2026","passed","Tue Mar 17 13:48:46 UTC 2026","","test_sqlite","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","28938","Test databao build with Snowflake from init config","tests.domains","Tue Mar 17 13:48:08 UTC 2026","passed","Tue Mar 17 13:48:37 UTC 2026","","test_snowflake","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","11654","Test databao build with MySQL","tests.domains","Tue Mar 17 13:47:23 UTC 2026","passed","Tue Mar 17 13:47:34 UTC 2026","","test_mysql","",""
