"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Initialize a project with Postgres with a partitioned table and build it.","11184","Test databao build with Postgres with partitioned table","tests.domains","Fri Mar 13 12:38:06 UTC 2026","passed","Fri Mar 13 12:38:17 UTC 2026","","test_postgres","",""
"Initialize a project with Postgres and build it, then compare results with expected introspection.","10596","Test databao build with Postgres","tests.domains","Fri Mar 13 12:37:54 UTC 2026","passed","Fri Mar 13 12:38:04 UTC 2026","","test_postgres","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","63158","Test databao build with BigQuery using BigQueryServiceAccountJsonAuth auth type","tests.domains","Fri Mar 13 12:35:31 UTC 2026","passed","Fri Mar 13 12:36:34 UTC 2026","","test_bigquery","",""
"Initialize a project with Snowflake using interactive configuration and verify the generated config file.","0","Test databao build with Snowflake from init config","tests.domains","Fri Mar 13 12:38:17 UTC 2026","skipped","Fri Mar 13 12:38:17 UTC 2026","","test_snowflake","",""
"Initialize a project with BigQuery and build it, then compare results with expected introspection.","29417","Test databao build with BigQuery using BigQueryServiceAccountKeyFileAuth auth type","tests.domains","Fri Mar 13 12:36:34 UTC 2026","passed","Fri Mar 13 12:37:04 UTC 2026","","test_bigquery","",""
"Initialize a project with DuckDB and build it, then compare results with expected introspection.","10137","Test databao build with DuckDB","tests.domains","Fri Mar 13 12:37:04 UTC 2026","passed","Fri Mar 13 12:37:14 UTC 2026","","test_duckdb","",""
"Initialize a project with SQLite and build it, then compare results with expected introspection.","8459","Test databao build with SQLite","tests.domains","Fri Mar 13 12:38:17 UTC 2026","passed","Fri Mar 13 12:38:26 UTC 2026","","test_sqlite","",""
"Initialize a project with MySQL and build it, then compare results with expected introspection.","10859","Test databao build with MySQL","tests.domains","Fri Mar 13 12:37:35 UTC 2026","passed","Fri Mar 13 12:37:46 UTC 2026","","test_mysql","",""
